iter	RMSE
0	0.5936904286
1	0.5687757324
2	0.5511170537
3	0.5350125989
4	0.5229219063
5	0.5147666136
6	0.507245501
7	0.5003405003
8	0.4938446431
9	0.4888376381
10	0.4807266913
11	0.4770581252
12	0.4717260723
13	0.4682934751
14	0.46231203
15	0.4590804597
16	0.4568396634
17	0.4542295639
18	0.4518704631
19	0.4501419645
20	0.4480513576
21	0.4461525695
22	0.4436277723
23	0.4400603857
24	0.4368019153
25	0.4346083324
26	0.4318776175
27	0.4291271386
28	0.4264777645
29	0.4240307821
30	0.4216224193
31	0.4197337601
32	0.41704016
33	0.4163052723
34	0.4147896351
35	0.4122897899
36	0.4105427204
37	0.4094007082
38	0.4069978604
39	0.4042311453
40	0.4026968185
41	0.4019342581
42	0.4002866948
43	0.3984625101
44	0.3964928348
45	0.3946353615
46	0.3936614844
47	0.3926263183
48	0.3910477328
49	0.3902850301
50	0.3892857336
51	0.388528069
52	0.3873853641
53	0.3856603343
54	0.3849212224
55	0.3838041862
56	0.3824146026
57	0.3804478613
58	0.3794465136
59	0.3787805883
60	0.3783963348
61	0.3769993149
62	0.3763804406
63	0.3754548768
64	0.3745712026
65	0.3740251603
66	0.3735454387
67	0.3728352276
68	0.3723521783
69	0.3715370335
70	0.3706326627
71	0.3697499614
72	0.3691249042
73	0.3686000196
74	0.3677663797
75	0.3666778356
76	0.3661528252
77	0.3653991157
78	0.3647629482
79	0.3637595349
80	0.3627866551
81	0.3620047191
82	0.3612109806
83	0.3605676612
84	0.3597626048
85	0.3592745407
86	0.3584430565
87	0.3580766662
88	0.3573412399
89	0.3566771959
90	0.3563065388
91	0.3560484492
92	0.3558073717
93	0.3553426914
94	0.3546033595
95	0.354180535
96	0.3537052618
97	0.3531639451
98	0.3530987754
99	0.352332022
100	0.3521874904
101	0.3515880292
102	0.3512422227
103	0.3504785924
104	0.3501265385
105	0.3493896925
106	0.3487651412
107	0.3483925767
108	0.348134479
109	0.3479741667
110	0.3477003529
111	0.3472963801
112	0.346985464
113	0.3465636601
114	0.3461660753
115	0.3453223302
116	0.3449962382
117	0.3443610156
118	0.3438676065
119	0.3434790634
120	0.3426846878
121	0.3423462745
122	0.3419880973
123	0.3413891111
124	0.3408053475
125	0.3403047136
126	0.3397314026
127	0.3393463039
128	0.3388255302
129	0.3385519682
130	0.3382372383
131	0.3379251109
132	0.3377236914
133	0.3372857858
134	0.3367552543
135	0.3362155922
136	0.3355282389
137	0.3351486671
138	0.3347488572
139	0.3344755743
140	0.3340465255
141	0.3336971024
142	0.3332305239
143	0.3328982872
144	0.3326179556
145	0.3319885881
146	0.3318397782
147	0.3313010758
148	0.3308617842
149	0.3306724888
150	0.3302518761
151	0.3299180425
152	0.3296935179
153	0.3293820811
154	0.3289089254
155	0.3284223672
156	0.328031225
157	0.3277481427
158	0.3274050159
159	0.3271116368
160	0.32684983
161	0.3266842885
162	0.3263267239
163	0.3261491971
164	0.3256826008
165	0.3251790087
166	0.3245403931
167	0.3243013797
168	0.324023004
169	0.3237061948
170	0.323471983
171	0.3232222178
172	0.3227115615
173	0.3222878461
174	0.3220169724
175	0.3217952799
176	0.3214937331
177	0.3212589496
178	0.3209639409
179	0.3207054944
180	0.3203405622
181	0.319843493
182	0.3195102667
183	0.3192849689
184	0.3190001879
185	0.3187530667
186	0.3185408212
187	0.3182779445
188	0.317997006
189	0.3178055157
190	0.3174649395
191	0.3172499122
192	0.317056597
193	0.3166590245
194	0.3163571733
195	0.3159633718
196	0.31578364
197	0.3155063613
198	0.3152345449
199	0.3147180622
