iter	Passed	Remaining
0	77	15377
1	146	14490
2	217	14271
3	291	14305
4	374	14622
5	444	14359
6	526	14505
7	604	14502
8	671	14259
9	747	14207
10	836	14375
11	913	14308
12	1005	14457
13	1086	14431
14	1163	14345
15	1235	14204
16	1326	14282
17	1406	14222
18	1471	14013
19	1552	13973
20	1630	13901
21	1707	13815
22	1777	13682
23	1873	13736
24	1950	13653
25	2045	13691
26	2130	13650
27	2222	13653
28	2361	13922
29	2441	13837
30	2533	13809
31	2613	13722
32	2706	13697
33	2795	13650
34	2878	13569
35	2967	13519
36	3066	13509
37	3142	13395
38	3237	13363
39	3330	13321
40	3415	13244
41	3508	13198
42	3580	13072
43	3670	13014
44	3744	12899
45	3834	12838
46	3911	12732
47	3991	12639
48	4065	12527
49	4163	12489
50	4265	12462
51	4337	12343
52	4411	12234
53	4504	12178
54	4586	12092
55	4667	12001
56	4751	11919
57	4835	11838
58	4904	11720
59	4973	11605
60	5050	11507
61	5133	11426
62	5210	11330
63	5299	11260
64	5382	11179
65	5472	11110
66	5558	11034
67	5638	10946
68	5716	10853
69	5797	10766
70	5869	10664
71	5952	10581
72	6055	10534
73	6125	10429
74	6214	10358
75	6291	10265
76	6362	10163
77	6436	10066
78	6516	9980
79	6598	9898
80	6671	9801
81	6743	9703
82	6833	9632
83	6925	9563
84	7026	9506
85	7096	9407
86	7170	9313
87	7249	9226
88	7330	9142
89	7403	9048
90	7486	8967
91	7576	8893
92	7652	8804
93	7736	8724
94	7819	8642
95	7900	8559
96	7980	8473
97	8055	8384
98	8133	8297
99	8216	8216
100	8295	8131
101	8402	8072
102	8484	7989
103	8565	7906
104	8644	7820
105	8717	7731
106	8801	7649
107	8878	7562
108	8972	7490
109	9052	7406
110	9124	7316
111	9197	7226
112	9283	7147
113	9354	7056
114	9431	6971
115	9511	6887
116	9586	6800
117	9663	6715
118	9746	6634
119	9843	6562
120	9913	6472
121	10010	6399
122	10103	6324
123	10183	6241
124	10267	6160
125	10344	6075
126	10427	5993
127	10502	5907
128	10590	5828
129	10663	5742
130	10753	5663
131	10836	5582
132	10919	5501
133	10997	5416
134	11070	5330
135	11149	5246
136	11233	5165
137	11306	5079
138	11391	4999
139	11475	4918
140	11559	4836
141	11642	4755
142	11723	4673
143	11800	4589
144	11891	4510
145	11966	4425
146	12043	4342
147	12136	4264
148	12222	4183
149	12300	4100
150	12370	4014
151	12467	3937
152	12551	3855
153	12633	3773
154	12715	3691
155	12793	3608
156	12882	3528
157	12964	3446
158	13051	3365
159	13128	3282
160	13196	3196
161	13265	3111
162	13355	3031
163	13437	2949
164	13511	2865
165	13596	2784
166	13680	2703
167	13754	2619
168	13830	2537
169	13926	2457
170	14009	2375
171	14092	2294
172	14170	2211
173	14247	2128
174	14318	2045
175	14413	1965
176	14494	1883
177	14575	1801
178	14654	1719
179	14723	1635
180	14811	1554
181	14890	1472
182	14975	1391
183	15053	1309
184	15138	1227
185	15210	1144
186	15286	1062
187	15363	980
188	15456	899
189	15538	817
190	15622	736
191	15705	654
192	15787	572
193	15872	490
194	15963	409
195	16039	327
196	16115	245
197	16189	163
198	16274	81
199	16352	0
