iter	RMSE
0	0.6008954437
1	0.5841488502
2	0.5701345953
3	0.557594515
4	0.544761422
5	0.5339860284
6	0.5235031147
7	0.5140035614
8	0.5052616798
9	0.4965400372
10	0.4888276914
11	0.4829897648
12	0.4765017469
13	0.470789871
14	0.4651539322
15	0.4606428207
16	0.4557443789
17	0.4516465978
18	0.4476111658
19	0.4440336051
20	0.4401958318
21	0.4363736658
22	0.4336394772
23	0.4300220252
24	0.4273759975
25	0.4238292818
26	0.4203303578
27	0.4170975546
28	0.4141171339
29	0.4116532422
30	0.4088736033
31	0.4065025577
32	0.4042532801
33	0.4014130018
34	0.3990716033
35	0.3965132654
36	0.3936488388
37	0.3917664568
38	0.3903591899
39	0.3884214222
40	0.3862055033
41	0.3835211147
42	0.3818058234
43	0.3799782281
44	0.3782570475
45	0.3767902629
46	0.3750273277
47	0.3734149161
48	0.3715891785
49	0.3692594447
50	0.367303555
51	0.3659097226
52	0.3647915693
53	0.3625840427
54	0.3614320778
55	0.3602014732
56	0.3593836624
57	0.3579853935
58	0.3572921335
59	0.3560482609
60	0.3552478464
61	0.3537879755
62	0.353129831
63	0.352193668
64	0.3508861633
65	0.3493718537
66	0.3483618055
67	0.3472415976
68	0.3463345765
69	0.3456225079
70	0.3445041836
71	0.3431575009
72	0.3421699797
73	0.3413962746
74	0.3397158925
75	0.3386524242
76	0.3375706127
77	0.3363863052
78	0.3355143614
79	0.3344066066
80	0.3334879133
81	0.3325159796
82	0.3315763296
83	0.3302847228
84	0.3293437786
85	0.3284354734
86	0.3277515005
87	0.326756259
88	0.3256584739
89	0.324736361
90	0.3241777334
91	0.3235086829
92	0.3226233849
93	0.3220377035
94	0.3213574464
95	0.3205899544
96	0.3200013265
97	0.3189765797
98	0.3180734855
99	0.3171617415
100	0.3164461003
101	0.3157225321
102	0.3149611869
103	0.3141724137
104	0.3132432313
105	0.3123289075
106	0.3115141284
107	0.3105523045
108	0.3099636888
109	0.3094609674
110	0.3090733099
111	0.3083604529
112	0.3078370914
113	0.3074177075
114	0.3068101433
115	0.3062279611
116	0.3055124731
117	0.3047985298
118	0.3041570585
119	0.3035281656
120	0.3028879845
121	0.3025735915
122	0.3020712209
123	0.3013049237
124	0.3008387292
125	0.3005150356
126	0.2998012981
127	0.2988528485
128	0.29839384
129	0.2979966008
130	0.2975337703
131	0.2970749538
132	0.2966174917
133	0.2963518083
134	0.2957019202
135	0.2951075912
136	0.2944645963
137	0.2939038437
138	0.293498067
139	0.2929733835
140	0.2924661384
141	0.2921183247
142	0.2914878771
143	0.2909988673
144	0.2905589517
145	0.2901793796
146	0.2899926175
147	0.2894800627
148	0.2889947717
149	0.2886583081
150	0.2884480408
151	0.2881693016
152	0.2879680433
153	0.2875031129
154	0.2872603701
155	0.2866201683
156	0.2861621549
157	0.2858193469
158	0.2855165215
159	0.2852161158
160	0.2847683255
161	0.2841087389
162	0.2835984369
163	0.2832814669
164	0.2828708197
165	0.2824925099
166	0.2819650635
167	0.2816748596
168	0.2812623914
169	0.2809591134
170	0.2805368072
171	0.2801497757
172	0.2797500538
173	0.2793015827
174	0.2788570293
175	0.2784678886
176	0.2780977474
177	0.2776863429
178	0.2773960998
179	0.2768662136
180	0.2765418566
181	0.2763703049
182	0.2760696366
183	0.2757350396
184	0.2752228101
185	0.2746966299
186	0.2744240829
187	0.2741651911
188	0.2737562723
189	0.2732843746
190	0.2731001194
191	0.2727200681
192	0.2721357052
193	0.271680952
194	0.271222901
195	0.2708454903
196	0.2706201418
197	0.2704154479
198	0.2699781614
199	0.2694238864
