iter	Passed	Remaining
0	65	13074
1	135	13435
2	247	16222
3	604	29626
4	1176	45877
5	1298	41969
6	1428	39396
7	1525	36604
8	1629	34585
9	1737	33013
10	1843	31678
11	1944	30459
12	2032	29232
13	2129	28286
14	2260	27879
15	2345	26974
16	2436	26227
17	2523	25515
18	2601	24786
19	2698	24287
20	2818	24027
21	2907	23521
22	3030	23322
23	3134	22989
24	3220	22543
25	3322	22232
26	3420	21918
27	3510	21564
28	3622	21359
29	3702	20980
30	3834	20905
31	3934	20654
32	4038	20436
33	4176	20391
34	4292	20236
35	4371	19914
36	4491	19788
37	4571	19487
38	4685	19340
39	4785	19142
40	4885	18944
41	4968	18691
42	5079	18544
43	5169	18329
44	5293	18232
45	5404	18093
46	5487	17862
47	5583	17681
48	5741	17692
49	5849	17549
50	5950	17384
51	6032	17170
52	6112	16952
53	6202	16769
54	6305	16623
55	6427	16527
56	6513	16341
57	6601	16163
58	6678	15959
59	6759	15772
60	6830	15564
61	6940	15448
62	7019	15263
63	7111	15112
64	7250	15058
65	7351	14926
66	7451	14792
67	7539	14636
68	7625	14477
69	7705	14310
70	7791	14155
71	7890	14027
72	7992	13905
73	8077	13753
74	8193	13656
75	8267	13488
76	8353	13343
77	8452	13219
78	8535	13073
79	8643	12964
80	8733	12831
81	8830	12706
82	8933	12593
83	9022	12459
84	9114	12331
85	9207	12204
86	9301	12081
87	9384	11944
88	9459	11797
89	9547	11669
90	9621	11524
91	9697	11383
92	9772	11243
93	9874	11134
94	9959	11008
95	10043	10880
96	10124	10750
97	10209	10626
98	10293	10501
99	10380	10380
100	10467	10260
101	10558	10144
102	10667	10045
103	10753	9925
104	10846	9813
105	10932	9694
106	11032	9588
107	11109	9463
108	11318	9449
109	11417	9341
110	11498	9219
111	11589	9106
112	11690	9000
113	11779	8885
114	11869	8772
115	11956	8658
116	12047	8546
117	12140	8436
118	12220	8318
119	12309	8206
120	12393	8091
121	12468	7971
122	12560	7863
123	12651	7754
124	12732	7639
125	12819	7529
126	12906	7418
127	12985	7304
128	13062	7189
129	13156	7084
130	13240	6973
131	13339	6871
132	13428	6764
133	13506	6652
134	13586	6541
135	13685	6440
136	13789	6341
137	13862	6228
138	13962	6127
139	14060	6025
140	14135	5914
141	14224	5809
142	14296	5698
143	14404	5601
144	14655	5558
145	14753	5456
146	14836	5349
147	14949	5252
148	15043	5149
149	15122	5040
150	15213	4936
151	15320	4838
152	15392	4728
153	15479	4623
154	15576	4522
155	15662	4417
156	15745	4312
157	15819	4205
158	15894	4098
159	15973	3993
160	16064	3891
161	16148	3787
162	16248	3688
163	16328	3584
164	16426	3484
165	16526	3385
166	16623	3284
167	16710	3182
168	16814	3084
169	16890	2980
170	16993	2881
171	17093	2782
172	17182	2681
173	17271	2580
174	17374	2482
175	17463	2381
176	17552	2280
177	17630	2179
178	17736	2080
179	17809	1978
180	17887	1877
181	17968	1777
182	18046	1676
183	18130	1576
184	18256	1480
185	18325	1379
186	18433	1281
187	18516	1181
188	18637	1084
189	18720	985
190	18813	886
191	18903	787
192	18983	688
193	19066	589
194	19155	491
195	19241	392
196	19329	294
197	19421	196
198	19509	98
199	19586	0
